variable,mean,median,sd,mad,q5,q95,term
b_Intercept,35.22556457793227,35.1473315745703,1.1726536354630186,1.172433058506238,27.21001039979582,45.94369109370617,Multiplicative
b_branch_air_force,0.7727266731343778,0.7719910286072111,1.1653921841223136,1.1648627763345347,0.6021537852927792,0.9934410119935582,Multiplicative
b_branch_marines,0.9733187069078344,0.9702280175209629,1.2400474522845752,1.241952354518026,0.6885776446731031,1.3869168354314276,Multiplicative
b_branch_navy,0.9092896421924458,0.9089560439177503,1.17090978848241,1.1705056614994125,0.702654799421813,1.1768729546762562,Multiplicative
b_branch_public_health,1.2875536693581868,1.2580214323785313,1.6352739267935907,1.6332302292662861,0.6029123390696932,2.998281766238176,Multiplicative
b_military_exp_combat,1.1538718036684839,1.154101466349355,1.149662281781507,1.1497086904983846,0.9178788775806395,1.4502213109103257,Multiplicative
b_military_exp_noncombat,1.029786351849136,1.0297928736748825,1.1516511100039422,1.1508225891510089,0.8137527683491366,1.2974291512230023,Multiplicative
b_military_exp_peacekeeping,0.987470012095669,0.9864711315056098,1.225389863620101,1.2245591250805843,0.7089147577652543,1.3864228835259913,Multiplicative
b_military_exp_support,1.1060105948776824,1.106571050082848,1.163912534350069,1.1627136453618858,0.863277666494,1.4195532067942473,Multiplicative
b_mios_total,1.4354620474043587,1.433674057046002,1.0851587159872416,1.0852515734339603,1.2581230210817484,1.6458569453533047,Multiplicative
b_pc_ptsd_positive_screen,1.2128974107818886,1.2118360969952753,1.1947152099903104,1.1889994517776177,0.9049084082567964,1.6319002225018255,Multiplicative
b_race_asian,0.8592608145540979,0.8460715783299003,1.5773391798576757,1.583841779085137,0.4172690353542379,1.8647517643282001,Multiplicative
b_race_black,0.820816965942803,0.8183111424159137,1.2341791369625166,1.2339075403475022,0.5835674306792761,1.1628224420209978,Multiplicative
b_race_latino,1.0968342925048338,1.0887453856863216,1.3581867851901352,1.3556158875586874,0.6716103704428756,1.8289783293888167,Multiplicative
b_race_native,1.7930456114554396,1.7862992739179606,1.2848154761162545,1.283672377448368,1.199863407221839,2.723733011270591,Multiplicative
