Sample,bIPF,n,perc
1,Non-Zero,161,0.8994413407821229
1,Zero,18,0.1005586592178771
2,Non-Zero,144,0.631578947368421
2,Zero,84,0.3684210526315789
3,Non-Zero,130,0.896551724137931
3,Zero,15,0.10344827586206896
