Variable,Mean,Median,SD,MAD,5%,95%,33.30%,66.60%
PCL Total (Gamma),1.35,1.35,1.07,1.07,1.21,1.49,1.31,1.38
PCL Total (Hurdle),0.31,0.32,1.46,1.46,0.17,0.58,0.27,0.37
