variable,mean,median,sd,mad,q5,q95,term
b_Intercept,35.269793770151296,35.213395000356265,1.1133235514759086,1.1117792327180658,29.593907723674203,42.23320141100828,Multiplicative
b_branch_air_force,1.2076769466325048,1.2062080972058635,1.1448639900884485,1.1405908464095462,0.9671019622084518,1.5173481871041212,Multiplicative
b_branch_coast_guard,1.7536827595043782,1.7298520939012063,1.5847066563655257,1.5781846103543251,0.8387195054464618,3.856680097387188,Multiplicative
b_branch_marines,1.1258460350092632,1.1219500753639928,1.1917431451614546,1.1917177301819495,0.8489088589443954,1.5111200230575348,Multiplicative
b_branch_navy,0.9509848620133027,0.9500085508816557,1.1513619938831348,1.151283276874874,0.7547002408937233,1.1987220134514796,Multiplicative
b_branch_public_health,0.5383646881888712,0.5216939608116473,1.859007613154581,1.8300564876092957,0.20444547601551338,1.5497466725355145,Multiplicative
b_foreign_born,1.8753522876512485,1.816575881005731,1.6843421212547471,1.659984963787349,0.8432283148742568,4.607138921785452,Multiplicative
b_gender_female,0.9328002176077009,0.9320903527357205,1.1289195047129132,1.1268912766490642,0.7656765323154785,1.1413795130577566,Multiplicative
b_gender_nonbinary,0.5843631289327187,0.571210209124136,1.787829662560544,1.7675900188444622,0.23469105367058793,1.5787760043065637,Multiplicative
b_military_exp_combat,0.8844733803270395,0.883463421403211,1.1376215195599726,1.138283628337639,0.7161508613544157,1.0935773444213692,Multiplicative
b_military_exp_noncombat,1.009873483030884,1.0118893606827375,1.1387201557240871,1.1409559944611716,0.8139750248115446,1.2453604106631855,Multiplicative
b_military_exp_peacekeeping,1.0837971651795424,1.0840236829297847,1.1368789689129568,1.135636663072344,0.8782395219570234,1.3392045583056411,Multiplicative
b_military_exp_support,0.9357201612061666,0.9352845948395074,1.1296473288374835,1.1285762816539282,0.766370981446038,1.1446691473827426,Multiplicative
b_mios_total,1.0681819359318232,1.066902035417461,1.0763910492993243,1.0750707286457932,0.9473227104167526,1.2072360717093118,Multiplicative
b_pcl_total,1.6565643579818898,1.6578665335318865,1.0841916030749275,1.0844373821143265,1.447794478279548,1.89054179403122,Multiplicative
b_race_asian,1.2760096549085882,1.268427653093117,1.360798205456272,1.3613133689897423,0.7790114409542861,2.14391253900082,Multiplicative
b_race_black,0.9418972984280906,0.9393041850432533,1.1951255632227693,1.1951083113464747,0.7059309300960287,1.2661716258801876,Multiplicative
b_race_latino,1.4161354781412887,1.407354231321707,1.3195855299674533,1.317176900944189,0.9086553422915042,2.267845389211223,Multiplicative
b_race_native,0.6133768145411812,0.6055131643119356,1.4052113541687918,1.405444450882525,0.3607551231655104,1.096805072968418,Multiplicative
b_race_other,0.4557748200503591,0.4379452243446609,1.7256332496760738,1.69958748992011,0.1988204306839803,1.1845764801654741,Multiplicative
b_race_pacific,3.008310469173759,2.9588194372152583,1.8297226081234015,1.7955933435693625,1.1436819682190804,8.36936010028533,Multiplicative
b_rank_e1_e3,1.045556697282144,1.0435708847170864,1.1653096827339993,1.1632868945021606,0.8144909985541504,1.3485201708821788,Multiplicative
b_rank_e7_e9,0.8058941826079568,0.8034478897368268,1.1763433217540564,1.1741967773139501,0.6180861762349178,1.0575571667821193,Multiplicative
b_rank_o1_o3,0.675725368984744,0.6759294921041805,1.4291770638094659,1.4241190723994313,0.37503861086699297,1.2109478281304304,Multiplicative
b_rank_o4_o6,0.8570008350639434,0.85269854890548,1.2912402417030036,1.2888651867964098,0.5671526244797014,1.3169429859847008,Multiplicative
b_rank_w1_cw5,0.6780386845641,0.664188084385113,1.4663012488864255,1.450664731419826,0.37349868338093106,1.3125080397648436,Multiplicative
b_service_era_cold_war,0.7041235412972108,0.7028494069384862,1.1373252158582954,1.1370177643159174,0.5708989638242474,0.8726547135542934,Multiplicative
b_service_era_persian_gulf,1.2691117936784344,1.2682948556699045,1.1156088197099763,1.1146894420870856,1.0608381814256083,1.5185207010867858,Multiplicative
b_service_era_vietnam,1.1974827015393006,1.1899118336393655,1.355553198628952,1.3511329505384442,0.7305123936157387,1.986945688939306,Multiplicative
b_hu_Intercept,0.03882329852379257,0.039764327999965085,1.8790674487472665,1.875227735330915,0.013304604575321932,0.10674771257199357,Odds Ratio
b_hu_branch_air_force,1.7525505543966102,1.7554703996644985,1.8755948435864942,1.8803219727156988,0.6266888565906418,4.900018888965159,Odds Ratio
